"bins","max","mid","min","sst","dem","stage"
5,10,0,-10,30.8383895600696,7863481.53975416,"Priabonian"
6,-10,-20,-30,26.0948200368436,6053322.1476954,"Priabonian"
7,-30,-40,-50,17.4371598022572,6411986.42375617,"Priabonian"
8,-50,-60,-70,7.73097665035185,5964467.94717831,"Priabonian"
9,-70,-80,-90,1.66284348425184,2160997.76183066,"Priabonian"
1,90,80,70,-1.63739053475229,1213048.8408953,"Rhaetian"
2,70,60,50,5.30228433234809,9268043.32583292,"Rhaetian"
3,50,40,30,17.9418905979318,9441753.74341268,"Rhaetian"
4,30,20,10,25.3273064233293,12378406.3054865,"Rhaetian"
5,10,0,-10,26.2906548049161,5852570.63904609,"Rhaetian"
6,-10,-20,-30,21.0941030149346,6783662.57335003,"Rhaetian"
7,-30,-40,-50,15.1798008738494,1592676.03925497,"Rhaetian"
8,-50,-60,-70,2.33230884203054,2606314.5170656,"Rhaetian"
9,-70,-80,-90,1.05396470427513,45331.9443334821,"Rhaetian"
1,90,80,70,-1.62575228260918,3535205.56715396,"Rupelian"
2,70,60,50,0.905407774510232,7008838.07212136,"Rupelian"
3,50,40,30,12.7953263837013,12423343.1888476,"Rupelian"
4,30,20,10,25.2552005917061,11984209.535129,"Rupelian"
5,10,0,-10,28.5803328726559,7313417.69758194,"Rupelian"
6,-10,-20,-30,24.9721703326965,6710936.98769104,"Rupelian"
7,-30,-40,-50,16.1805625209996,6569385.96156575,"Rupelian"
8,-50,-60,-70,7.35709554992403,5349684.43804173,"Rupelian"
9,-70,-80,-90,2.38001990109361,2061794.4072509,"Rupelian"
1,90,80,70,-1.38620795877322,7225535.56677361,"Santonian"
2,70,60,50,1.78144479867005,11541156.6293333,"Santonian"
3,50,40,30,14.8112578738618,18020959.3882308,"Santonian"
4,30,20,10,26.204687856605,13888935.9002833,"Santonian"
5,10,0,-10,29.6253195540349,8150241.42274493,"Santonian"
6,-10,-20,-30,26.4565368507341,7778038.4837467,"Santonian"
7,-30,-40,-50,18.1990403932247,7967870.67536219,"Santonian"
8,-50,-60,-70,3.56893893307872,4966544.63640718,"Santonian"
9,-70,-80,-90,-0.194131843631369,3568037.87961806,"Santonian"
1,90,80,70,-1.59140313494096,4276272.86955313,"Selandian"
2,70,60,50,1.15552008925964,7656568.28021407,"Selandian"
3,50,40,30,14.8852031735008,15149176.5572445,"Selandian"
4,30,20,10,25.8888525844728,14749041.0343383,"Selandian"
5,10,0,-10,30.7739996405414,13429977.6205436,"Selandian"
6,-10,-20,-30,27.0639462009553,6026462.17440823,"Selandian"
7,-30,-40,-50,17.4079138305009,8424918.06529479,"Selandian"
8,-50,-60,-70,5.8527342686259,7887920.0114488,"Selandian"
9,-70,-80,-90,0.263174707967684,2168859.02321099,"Selandian"
1,90,80,70,-1.59159065864877,3860315.58052832,"Serravallian"
2,70,60,50,1.78936836656669,5829456.34123908,"Serravallian"
3,50,40,30,10.7791392519066,11239071.8435169,"Serravallian"
4,30,20,10,24.3824589962223,9468587.45064367,"Serravallian"
5,10,0,-10,28.9071559863192,10912997.6410873,"Serravallian"
6,-10,-20,-30,24.2410061714103,8869024.44618163,"Serravallian"
7,-30,-40,-50,14.6127273768665,7057178.27079038,"Serravallian"
8,-50,-60,-70,3.14797496776034,2043720.93531701,"Serravallian"
9,-70,-80,-90,0.443982825092348,1483617.23648824,"Serravallian"
1,90,80,70,-1.35288265629149,1748711.4246761,"Sinemurian"
2,70,60,50,6.75446266174184,9994500.43438867,"Sinemurian"
3,50,40,30,18.5978350321844,15158357.0563123,"Sinemurian"
4,30,20,10,25.2723852641804,8834026.56905594,"Sinemurian"
5,10,0,-10,26.9436544261567,5363312.28570326,"Sinemurian"
6,-10,-20,-30,21.9337069289438,5290205.99945754,"Sinemurian"
7,-30,-40,-50,13.7476584021555,2014217.54482346,"Sinemurian"
8,-50,-60,-70,3.06591882973075,1635218.24172367,"Sinemurian"
9,-70,-80,-90,-0.0688900954133812,994921.192431573,"Sinemurian"
1,90,80,70,-1.54938384799025,4371170.51537635,"Thanetian"
2,70,60,50,2.20925057382799,5878738.59299574,"Thanetian"
3,50,40,30,14.8277895662737,13868943.3886566,"Thanetian"
4,30,20,10,25.8631763290204,15575187.7367844,"Thanetian"
5,10,0,-10,30.7213087733012,12208885.0236327,"Thanetian"
6,-10,-20,-30,25.6797657775879,5416424.40286107,"Thanetian"
7,-30,-40,-50,16.7727410760725,7524099.10550295,"Thanetian"
8,-50,-60,-70,4.51780813234471,7121202.68687897,"Thanetian"
9,-70,-80,-90,-0.705954731643707,2509281.87931201,"Thanetian"
1,90,80,70,0.768668380302218,4613153.15795431,"Tithonian"
2,70,60,50,5.85490665667584,11350616.1844129,"Tithonian"
3,50,40,30,18.1428958260861,12809075.0796122,"Tithonian"
4,30,20,10,27.8493003508871,15680802.1574435,"Tithonian"
5,10,0,-10,30.6596822087276,6995523.27314998,"Tithonian"
6,-10,-20,-30,25.6763453632078,6570028.64729396,"Tithonian"
7,-30,-40,-50,15.987654928817,9150778.82242879,"Tithonian"
8,-50,-60,-70,4.83099993159323,6118165.65229388,"Tithonian"
9,-70,-80,-90,-1.1191832318764,2336156.82288139,"Tithonian"
1,90,80,70,-0.825910851320972,4777130.00165774,"Toarcian"
2,70,60,50,4.92108304864009,6042823.23448448,"Toarcian"
3,50,40,30,17.4155843155103,16948707.0184863,"Toarcian"
4,30,20,10,26.246393015583,11780563.3218008,"Toarcian"
5,10,0,-10,29.6165511407585,3930891.69223929,"Toarcian"
6,-10,-20,-30,23.6557714684868,5790528.24156861,"Toarcian"
7,-30,-40,-50,13.0370064620362,5065390.89783603,"Toarcian"
8,-50,-60,-70,3.56609439112875,1369473.53556107,"Toarcian"
9,-70,-80,-90,-0.569555980502469,1233770.13441113,"Toarcian"
1,90,80,70,-1.56649013250423,3743298.38930207,"Tortonian"
2,70,60,50,-0.167762329596016,6098049.82241767,"Tortonian"
3,50,40,30,9.01815831079328,9698135.31281825,"Tortonian"
4,30,20,10,23.7936433466203,10073625.253328,"Tortonian"
5,10,0,-10,28.4914836369938,10002720.953423,"Tortonian"
6,-10,-20,-30,25.7721448755589,8437373.71959106,"Tortonian"
7,-30,-40,-50,16.7859800699965,6567425.09814568,"Tortonian"
8,-50,-60,-70,4.40753353482638,2968302.06950378,"Tortonian"
9,-70,-80,-90,1.85112719533837,2295451.80843794,"Tortonian"
1,90,80,70,-1.29735261760463,7031795.40094129,"Turonian"
2,70,60,50,2.63940783087897,12698578.3647849,"Turonian"
3,50,40,30,15.3873267638219,19308774.0967187,"Turonian"
4,30,20,10,27.0301837272193,15518367.003928,"Turonian"
5,10,0,-10,31.012823205643,9274960.99447349,"Turonian"
6,-10,-20,-30,27.2227985134608,7173579.69658753,"Turonian"
7,-30,-40,-50,17.2909026140983,9144301.21683258,"Turonian"
8,-50,-60,-70,3.23893772459825,5085817.05911824,"Turonian"
9,-70,-80,-90,0.152657286728325,3056204.00212808,"Turonian"
1,90,80,70,-1.52488001501541,7175266.12441334,"Valanginian"
2,70,60,50,2.123111709615,9477627.90542336,"Valanginian"
3,50,40,30,15.0368746727321,8122284.14520244,"Valanginian"
4,30,20,10,25.7147064415407,15855778.6578081,"Valanginian"
5,10,0,-10,29.5212023925781,5194489.83466,"Valanginian"
6,-10,-20,-30,25.7771122738286,5119308.85148178,"Valanginian"
7,-30,-40,-50,15.9910714775324,6685518.84129983,"Valanginian"
8,-50,-60,-70,3.82588915213663,9439244.45409077,"Valanginian"
9,-70,-80,-90,-0.409155772557913,1317374.77447595,"Valanginian"
