"species","x","y"
"reef",118.5,-6.5
"reef",119.5,-6.5
"reef",120.5,-6.5
"reef",121.5,-6.5
"reef",124.5,-6.5
"reef",131.5,-6.5
"reef",132.5,-6.5
"reef",134.5,-6.5
"reef",147.5,-6.5
"reef",148.5,-6.5
"reef",149.5,-6.5
"reef",155.5,-6.5
"reef",156.5,-6.5
"reef",-34.5,-7.5
"reef",39.5,-7.5
"reef",56.5,-7.5
"reef",70.5,-7.5
"reef",71.5,-7.5
"reef",106.5,-7.5
"reef",107.5,-7.5
"reef",108.5,-7.5
"reef",109.5,-7.5
"reef",113.5,-7.5
"reef",114.5,-7.5
"reef",115.5,-7.5
"reef",117.5,-7.5
"reef",118.5,-7.5
"reef",120.5,-7.5
"reef",121.5,-7.5
"reef",125.5,-7.5
"reef",126.5,-7.5
"reef",129.5,-7.5
"reef",130.5,-7.5
"reef",131.5,-7.5
"reef",132.5,-7.5
"reef",134.5,-7.5
"reef",147.5,-7.5
"reef",155.5,-7.5
"reef",156.5,-7.5
"reef",157.5,-7.5
"reef",158.5,-7.5
"reef",159.5,-7.5
"reef",-35.5,-8.5
"reef",-34.5,-8.5
"reef",39.5,-8.5
"reef",110.5,-8.5
"reef",112.5,-8.5
"reef",113.5,-8.5
"reef",114.5,-8.5
"reef",115.5,-8.5
"reef",116.5,-8.5
"reef",117.5,-8.5
"reef",118.5,-8.5
"reef",119.5,-8.5
"reef",120.5,-8.5
"reef",121.5,-8.5
"reef",122.5,-8.5
"reef",123.5,-8.5
"reef",124.5,-8.5
"reef",125.5,-8.5
"reef",126.5,-8.5
"reef",127.5,-8.5
"reef",129.5,-8.5
"reef",130.5,-8.5
"reef",131.5,-8.5
"reef",136.5,-8.5
"reef",143.5,-8.5
"reef",146.5,-8.5
"reef",148.5,-8.5
"reef",149.5,-8.5
"reef",150.5,-8.5
"reef",151.5,-8.5
"reef",156.5,-8.5
"reef",157.5,-8.5
"reef",158.5,-8.5
"reef",159.5,-8.5
"reef",160.5,-8.5
"reef",161.5,-8.5
"reef",-35.5,-9.5
"reef",39.5,-9.5
"reef",117.5,-9.5
"reef",119.5,-9.5
"reef",120.5,-9.5
"reef",123.5,-9.5
"reef",124.5,-9.5
"reef",125.5,-9.5
"reef",135.5,-9.5
"reef",136.5,-9.5
"reef",141.5,-9.5
"reef",142.5,-9.5
"reef",143.5,-9.5
"reef",144.5,-9.5
"reef",145.5,-9.5
"reef",146.5,-9.5
"reef",147.5,-9.5
"reef",148.5,-9.5
"reef",149.5,-9.5
"reef",150.5,-9.5
"reef",151.5,-9.5
"reef",152.5,-9.5
"reef",153.5,-9.5
"reef",159.5,-9.5
"reef",160.5,-9.5
"reef",161.5,-9.5
"reef",-36.5,-10.5
