"collection_no","stage_bin","lng","lat","PLong","PLat","x","y","stage"
69909,"Tortonian",34.616669,31.283333,32.6422532300001,30.0055531290001,32.6422532300001,30.0055531290001,"Tortonian"
99604,"Tortonian",34.700001,31.299999,32.7242018200001,30.023256571,32.7242018200001,30.023256571,"Tortonian"
70666,"Tortonian",-16.383333,33,-17.5905230029999,31.6176733090001,-17.5905230029999,31.6176733090001,"Tortonian"
164189,"Tortonian",-5.616667,33.650002,-6.96022539199993,32.206182674,-6.96022539199993,32.206182674,"Tortonian"
164190,"Tortonian",-5.616667,33.650002,-6.96022539199993,32.206182674,-6.96022539199993,32.206182674,"Tortonian"
161327,"Tortonian",-5,34.016666,-6.35118202599995,32.5699523370001,-6.35118202599995,32.5699523370001,"Tortonian"
70929,"Tortonian",-1.933333,34.633331,-3.33233823499995,33.174703875,-3.33233823499995,33.174703875,"Tortonian"
60774,"Tortonian",24.116667,34.816666,22.2479898350001,33.425906212,22.2479898350001,33.425906212,"Tortonian"
60773,"Tortonian",24.083332,34.833332,22.2148246400001,33.442048174,22.2148246400001,33.442048174,"Tortonian"
60775,"Tortonian",24.1,34.833332,22.2312175010001,33.4423086310001,22.2312175010001,33.4423086310001,"Tortonian"
60744,"Tortonian",24.049999,34.849998,22.1816621340001,33.458190641,22.1816621340001,33.458190641,"Tortonian"
60745,"Tortonian",24.1,34.849998,22.2308371180001,33.4589716080001,22.2308371180001,33.4589716080001,"Tortonian"
60746,"Tortonian",24.083332,34.866669,22.214063953,33.4753791320001,22.214063953,33.4753791320001,"Tortonian"
34690,"Tortonian",33.166668,35.083332,30.72127418,33.9448323610001,30.72127418,33.9448323610001,"Tortonian"
70538,"Tortonian",24.960939,35.08424,23.072134041,33.706779533,23.072134041,33.706779533,"Tortonian"
34862,"Tortonian",23.666668,35.450001,21.791045969,34.0521341040001,21.791045969,34.0521341040001,"Tortonian"
34861,"Tortonian",23.6,35.516666,21.723985456,34.117758601,21.723985456,34.117758601,"Tortonian"
34860,"Tortonian",23.6,35.583332,21.72245937,34.184412636,21.72245937,34.184412636,"Tortonian"
69896,"Tortonian",14.35,35.950001,12.635397848,34.49695933,12.635397848,34.49695933,"Tortonian"
69897,"Tortonian",14.25,36.033333,12.5366252530001,34.5798487750001,12.5366252530001,34.5798487750001,"Tortonian"
69903,"Tortonian",29.799999,36.433334,27.589683785,35.5781172430001,27.589683785,35.5781172430001,"Tortonian"
22978,"Tortonian",-3.752778,36.950001,-5.69100867299994,35.871801062,-5.69100867299994,35.871801062,"Tortonian"
69787,"Tortonian",-2.2,36.966667,-4.16019903499995,35.915685744,-4.16019903499995,35.915685744,"Tortonian"
147183,"Tortonian",-3.533333,37.116669,-5.47910973899997,36.0422297160001,-5.47910973899997,36.0422297160001,"Tortonian"
69925,"Tortonian",15.116667,37.183334,13.379513912,35.7337984710001,13.379513912,35.7337984710001,"Tortonian"
22979,"Tortonian",-3.766667,37.258331,-5.71296085499995,36.179818739,-5.71296085499995,36.179818739,"Tortonian"
62466,"Tortonian",30.783333,37.266666,28.6675927570001,36.3212015450001,28.6675927570001,36.3212015450001,"Tortonian"
149233,"Tortonian",-2.35,37.333332,-4.31823660599997,36.279596537,-4.31823660599997,36.279596537,"Tortonian"
34733,"Tortonian",-2.35,37.349998,-4.31869768199994,36.296258392,-4.31869768199994,36.296258392,"Tortonian"
34734,"Tortonian",-2.183333,37.400002,-4.15573672299996,36.3492091590001,-4.15573672299996,36.3492091590001,"Tortonian"
34735,"Tortonian",-2.183333,37.400002,-4.15573672299996,36.3492091590001,-4.15573672299996,36.3492091590001,"Tortonian"
